题目
"已知复数$z = (\frac{1 - i}{1 + i})^{2}$，则$z=$（）。
A. $i$
B. $-i$
C. 1
D. -1"
"已知$\tan\frac{\alpha}{2}=2$，则$\sin^{2}\frac{\alpha}{2}+\sin\alpha$的值是（）。
A. $\frac{2}{5}$
B. $\frac{4}{5}$
C. $\frac{6}{5}$
D. $\frac{8}{5}$"
"设$a$，$b$是两条不同的直线，$\alpha$，$\beta$是两个不同的平面，则下面说法正确的是（）。
A. 若$a\perp b$，$b\parallel\alpha$，则$a\perp\alpha$
B. 若$a\perp\alpha$，$b\parallel\alpha$，则$a\perp b$
C. 若$a\perp\alpha$，$a\perp\beta$，则$a\subset\beta$
D. 若$a\perp b$，$b\perp\beta$，则$a\parallel\beta$"
"集合$A = \{3, 1\}$，$B = \{0, b\}$，若$A\cap B = \{1\}$，则$A\cup B =$（ ）。
A. $\{0, 3\}$
B. $\{0, 1\}$
C. $\{0, 2, 3\}$
D. $\{0, 1, 3\}$"
"已知集合$U = \{1,2,3,4,5,6,7,8,9\}$，$A = \{2,4,6,8\}$，$B = \{3,4,5,6\}$，则$\complement_{U}(A\cup B)=$（）。
A. $\{1,9\}$
B. $\{1,7\}$
C. $\{1,7,9\}$
D. $\{2,3,4,5,6,8\}$"
"已知二项式$(2x^{2}-\frac{a}{x})^{7}$的展开式中$x^{2}$的系数是$280$，则实数$a$的值等于（）。
A. 1
B. 2
C. $\pm1$
D. $\pm2$"
"甲、乙两人独立地对同一目标各射击一次，命中率分别为$\frac{1}{3}$和$\frac{1}{4}$，在目标被击中的情况下，甲、乙同时击中目标的概率为（）。
A. $\frac{1}{12}$
B. $\frac{7}{12}$
C. $\frac{1}{6}$
D. $\frac{1}{2}$"
"已知$f(x)$是定义在$ R$上的函数，且$f(2x - 1)$为偶函数，$f(x - 2)$是奇函数，当$x\in[0,1]$时，$f(x)=2^{x}-1$，则$f(7)$等于（）。
A. -1
B. $-\frac{1}{2}$
C. $\frac{1}{2}$
D. 1"
"已知$D$，$E$分别为$\triangle ABC$的边$AB$，$AC$的中点，若$\overrightarrow{DE}=(3,4)$，$B(-2,-3)$，则点$C$的坐标为（）。
A. $(4,5)$
B. $(1,1)$
C. $(-5,-7)$
D. $(-8,-11)$"
"设椭圆$C:\frac{x^{2}}{25}+\frac{y^{2}}{16}=1$的左、右焦点分别为$F_{1}$，$F_{2}$，$P$是$C$上的动点，则下列说法正确的是（）。
A. $|PF_{1}|$的最大值为$8$
B. 椭圆$C$的离心率$e=\frac{4}{5}$
C. $\triangle PF_{1}F_{2}$面积的最大值等于$12$
D. 以线段$F_{1}F_{2}$为直径的圆与圆$(x - 4)^{2}+(y - 3)^{2}=4$相切"
"下列说法正确的是（）。
A. 连续抛掷一枚质地均匀的硬币，直至出现正面向上，则停止抛掷。设随机变量$X$表示停止时抛掷的次数，则$P(X = 3)=\frac{3}{8}$
B. 从$6$名男同学和$3$名女同学组成的学习小组中，随机选取$2$人参加某项活动，设随机变量$Y$表示所选取的学生中男同学的人数，则$E(Y)=\frac{4}{3}$
C. 若随机变量$\xi\sim B(9,\frac{1}{3})$，则$D(\xi)=2$
D. 若随机变量$\eta\sim N(\mu,\sigma^{2})$，则当$\mu$减小，$\sigma$增大时，$P(|\eta-\mu|<\sigma)$保持不变"
已知向量$\overrightarrow{a}$，$\overrightarrow{b}$满足$|\overrightarrow{a}| = 2$，$(4\overrightarrow{a}+\overrightarrow{b})\cdot\overrightarrow{b}=4$，则$|2\overrightarrow{a}+\overrightarrow{b}| =$ \_\_\_\_\_\_。
在$\Delta ABC$中，已知内角$A$、$B$、$C$的对边分别为$a$、$b$、$c$，$\Delta ABC$的面积为$\sqrt{3}$，点$D$是线段$BC$上靠近点$B$的一个三等分点，$AD = 1$，若$\angle ADC=\frac{\pi}{3}$，则$c =$ \_\_\_\_\_\_。
"已知$p,q\in R$，且$p + q = 2024$，若$y = 2^{p}=\log_{2}q$，且$y\in(\frac{n}{10},\frac{n + 1}{10})$，则正整数$n$的值为 \_\_\_\_\_\_。"
"已知平面区域$\Omega = \begin{cases}x + y - 4\leq0 \\ x - y - 2\leq0 \\ x\geq0\end{cases}$，则$x - 2y$的最大值为（）。
A. 8
B. 4
C. 3
D. 2"
"某类型的多项选择题设置了4个选项，一道题中的正确答案或是其中2个选项或是其中3个选项。该类型题目评分标准如下：每题满分6分，若未作答或选出错误选项，则该题得0分；若正确答案是2个选项，则每选对1个正确选项得3分；若正确答案是3个选项，则每选对1个正确选项得2分。甲、乙、丙三位同学各自作答一道此类题目，设该题正确答案是2个选项的概率为$p$。
（1）已知甲同学随机（等可能）选择了2个选项作答，若$p=\frac{1}{2}$，求他既选出正确选项也选出了错误选项的概率；
（2）已知乙同学随机（等可能）选出1个选项作答，丙同学随机（等可能）选出2个选项作答，若$p=\frac{1}{3}$，试比较乙、丙两同学得分的数学期望的大小。"
"已知函数$f(x)=e^{x - 1}-a$（其中$a\in R$），$g(x)=\ln x$。
（1）当$a = 0$时，求函数$f(x)$的图象在点$(0,f(0))$处的切线方程；
（2）当$x>0$时，若$f(x)\geq g(x)$恒成立，求$a$的取值范围。"
"已知集合$A = \{x|\ln(x - 2)\leq0\}$，$B = \{y|y = 2^{x}-1,x\in A\}$，则$A\cup B=$（）。
A. $(2,3]$
B. $(2,7]$
C. $(-1,7]$
D. $(-1,+\infty)$"
